bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_order1,bid_order2,bid_order3,bid_order4,bid_order5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_order1,ask_order2,ask_order3,ask_order4,ask_order5,time
860.45,860.4,860.2,860.15,860.1,860.5,860.55,860.6,860.65,860.7,18,11,89,252,51,7451,33,858,589,3770,2,1,1,3,5,16,3,8,12,21,1720790808.060566
860.1,860.05,860.0,859.95,859.9,860.45,860.5,860.55,860.6,860.65,150,95,934,523,995,194,7756,258,1075,1139,5,3,11,5,6,4,21,4,13,15,1720790809.068972
860.15,860.1,860.05,860.0,859.95,860.45,860.5,860.55,860.6,860.65,13,149,121,934,711,366,7821,335,1212,1793,1,5,4,11,8,5,22,6,15,15,1720790810.057654
860.15,860.1,860.05,860.0,859.95,860.45,860.5,860.55,860.6,860.65,13,149,95,934,526,410,7821,282,1140,876,1,5,3,11,6,6,22,5,13,13,1720790811.059571
860.35,860.15,860.1,860.05,860.0,860.45,860.5,860.55,860.6,860.65,3,13,43,434,938,132,7694,258,1000,886,1,1,5,6,12,4,19,4,11,14,1720790812.101878
860.35,860.15,860.1,860.05,860.0,860.45,860.5,860.55,860.6,860.65,3,9,43,713,1000,27,7391,258,1000,1218,1,1,5,8,15,2,16,4,11,17,1720790813.125873
860.45,860.25,860.2,860.15,860.1,860.55,860.6,860.65,860.7,860.75,24,219,228,636,717,7,455,586,687,5597,1,4,4,6,4,1,2,5,7,7,1720790882.350882
860.5,860.45,860.25,860.2,860.15,860.55,860.6,860.65,860.7,860.75,15,24,128,283,636,7,227,640,733,5729,2,1,3,6,6,1,1,6,7,8,1720790882.552134
860.25,860.2,860.15,860.1,860.05,860.55,860.6,860.65,860.7,860.75,214,4,633,720,600,72,482,682,1385,5715,4,3,5,5,8,2,6,8,10,7,1720790883.577751
860.3,860.25,860.2,860.15,860.1,860.55,860.6,860.65,860.7,860.75,18,214,4,633,720,277,882,696,1464,5729,1,5,3,5,5,3,10,7,10,8,1720790884.565224
